1950	29.6	210.3	272.8	230.5	172.3	81.1	13.5
1955	37.1	263.7	342.0	289.1	216.0	101.7	16.9
1960	29.6	237.4	328.8	256.4	179.7	85.6	8.5
1965	19.5	197.5	318.7	218.6	125.2	53.0	9.1
1970	13.8	192.3	316.3	196.4	93.5	37.5	6.4
1975	14.8	154.0	242.4	113.3	41.5	13.6	4.2
1980	12.3	142.3	199.4	67.3	18.6	5.4	1.5
1985	6.5	97.3	164.3	42.4	8.1	1.5	0.1
1990	4.2	75.4	182.9	62.8	12.3	1.7	0
1995	3.0	50.0	160.7	71.5	15.3	2.4	0
2000	2.2	27.3	114.8	80.0	16.7	2.7	0
2005	2.1	18.7	98.5	98.3	25.1	2.9	0.2
2010	2.2	20.0	83.3	86.1	50.9	18.0	2.6
2015	2.4	21.2	79.9	93.9	56.8	21.1	3.0
2020	2.5	22.2	78.6	100.2	61.4	23.3	3.3
2025	2.6	23.1	78.6	105.3	65.0	25.1	3.6
2030	2.7	23.8	79.3	109.5	67.9	26.4	3.8
2035	2.7	24.5	80.2	112.9	70.1	27.4	3.9
2040	2.8	25.1	81.4	115.8	72.1	28.2	4.0
2045	2.9	25.6	82.5	118.2	73.6	28.9	4.1
2050	2.9	26.0	83.6	120.2	74.9	29.4	4.2
2055	2.9	26.3	84.5	121.9	76.0	29.9	4.2
2060	3.0	26.6	85.4	123.4	76.9	30.2	4.3
2065	3.0	26.9	86.3	124.8	77.8	30.6	4.3
2070	3.0	27.2	87.0	125.9	78.5	30.9	4.4
2075	3.1	27.3	87.6	126.8	79.1	31.1	4.4
2080	3.1	27.5	88.2	127.6	79.6	31.3	4.4
2085	3.1	27.7	88.6	128.3	80.0	31.5	4.5
2090	3.1	27.8	89.1	129.0	80.4	31.6	4.5
2095	3.1	27.9	89.5	129.5	80.8	31.8	4.5

