period	age	n	male	female
1955	0	1	0.16755	0.13532
1955	1	4	0.01729	0.01676
1955	5	5	0.00692	0.00682
1955	10	5	0.00307	0.00355
1955	15	5	0.00422	0.00408
1955	20	5	0.00539	0.00481
1955	25	5	0.00645	0.00551
1955	30	5	0.00766	0.00633
1955	35	5	0.00951	0.00761
1955	40	5	0.01236	0.00966
1955	45	5	0.01656	0.01280
1955	50	5	0.02250	0.01742
1955	55	5	0.03075	0.02403
1955	60	5	0.04225	0.03345
1955	65	5	0.05869	0.04717
1955	70	5	0.08091	0.06606
1955	75	5	0.11043	0.09169
1955	80	5	0.14879	0.12574
1955	85	15	0.21963	0.19502
1960	0	1	0.13561	0.11122
1960	1	4	0.01376	0.01334
1960	5	5	0.00572	0.00559
1960	10	5	0.00269	0.00301
1960	15	5	0.00381	0.00353
1960	20	5	0.00490	0.00431
1960	25	5	0.00562	0.00486
1960	30	5	0.00666	0.00548
1960	35	5	0.00829	0.00652
1960	40	5	0.01123	0.00834
1960	45	5	0.01546	0.01111
1960	50	5	0.02157	0.01517
1960	55	5	0.03021	0.02098
1960	60	5	0.04217	0.02948
1960	65	5	0.05959	0.04184
1960	70	5	0.08166	0.05960
1960	75	5	0.11623	0.08622
1960	80	5	0.16479	0.12462
1960	85	15	0.25460	0.20738
1965	0	1	0.10367	0.08713
1965	1	4	0.01024	0.00992
1965	5	5	0.00452	0.00436
1965	10	5	0.00230	0.00246
1965	15	5	0.00340	0.00298
1965	20	5	0.00440	0.00381
1965	25	5	0.00478	0.00421
1965	30	5	0.00566	0.00463
1965	35	5	0.00707	0.00544
1965	40	5	0.01010	0.00703
1965	45	5	0.01436	0.00943
1965	50	5	0.02064	0.01292
1965	55	5	0.02966	0.01793
1965	60	5	0.04209	0.02550
1965	65	5	0.06049	0.03652
1965	70	5	0.08240	0.05313
1965	75	5	0.12202	0.08076
1965	80	5	0.18079	0.12351
1965	85	15	0.28884	0.21906
1970	0	1	0.07173	0.06303
1970	1	4	0.00671	0.00650
1970	5	5	0.00332	0.00312
1970	10	5	0.00192	0.00191
1970	15	5	0.00300	0.00243
1970	20	5	0.00391	0.00331
1970	25	5	0.00395	0.00356
1970	30	5	0.00466	0.00377
1970	35	5	0.00584	0.00436
1970	40	5	0.00896	0.00571
1970	45	5	0.01326	0.00774
1970	50	5	0.01971	0.01067
1970	55	5	0.02912	0.01489
1970	60	5	0.04201	0.02152
1970	65	5	0.06139	0.03119
1970	70	5	0.08315	0.04667
1970	75	5	0.12782	0.07529
1970	80	5	0.19679	0.12239
1970	85	15	0.32271	0.23022
1975	0	1	0.03979	0.03893
1975	1	4	0.00318	0.00307
1975	5	5	0.00212	0.00189
1975	10	5	0.00153	0.00136
1975	15	5	0.00259	0.00189
1975	20	5	0.00342	0.00281
1975	25	5	0.00312	0.00290
1975	30	5	0.00365	0.00292
1975	35	5	0.00462	0.00327
1975	40	5	0.00783	0.00440
1975	45	5	0.01216	0.00606
1975	50	5	0.01878	0.00842
1975	55	5	0.02857	0.01184
1975	60	5	0.04193	0.01754
1975	65	5	0.06230	0.02587
1975	70	5	0.08390	0.04020
1975	75	5	0.13361	0.06982
1975	80	5	0.21279	0.12128
1975	85	15	0.35641	0.24100
1980	0	1	0.03449	0.03390
1980	1	4	0.00279	0.00267
1980	5	5	0.00155	0.00138
1980	10	5	0.00120	0.00103
1980	15	5	0.00212	0.00148
1980	20	5	0.00262	0.00176
1980	25	5	0.00281	0.00206
1980	30	5	0.00331	0.00229
1980	35	5	0.00495	0.00278
1980	40	5	0.00744	0.00364
1980	45	5	0.01151	0.00523
1980	50	5	0.01777	0.00759
1980	55	5	0.02574	0.01034
1980	60	5	0.03905	0.01604
1980	65	5	0.05875	0.02496
1980	70	5	0.08519	0.03934
1980	75	5	0.13443	0.06687
1980	80	5	0.21213	0.11366
1980	85	15	0.35242	0.22492
1985	0	1	0.02529	0.02501
1985	1	4	0.00200	0.00201
1985	5	5	0.00120	0.00105
1985	10	5	0.00083	0.00068
1985	15	5	0.00174	0.00102
1985	20	5	0.00209	0.00123
1985	25	5	0.00238	0.00130
1985	30	5	0.00292	0.00159
1985	35	5	0.00434	0.00214
1985	40	5	0.00747	0.00303
1985	45	5	0.01066	0.00438
1985	50	5	0.01534	0.00649
1985	55	5	0.02294	0.00930
1985	60	5	0.03485	0.01427
1985	65	5	0.05301	0.02391
1985	70	5	0.08085	0.04002
1985	75	5	0.11938	0.06412
1985	80	5	0.17627	0.10271
1985	85	15	0.28237	0.19792
1990	0	1	0.01568	0.01435
1990	1	4	0.00127	0.00116
1990	5	5	0.00079	0.00061
1990	10	5	0.00061	0.00047
1990	15	5	0.00127	0.00065
1990	20	5	0.00165	0.00081
1990	25	5	0.00207	0.00093
1990	30	5	0.00260	0.00108
1990	35	5	0.00395	0.00161
1990	40	5	0.00577	0.00228
1990	45	5	0.00940	0.00354
1990	50	5	0.01274	0.00497
1990	55	5	0.01799	0.00749
1990	60	5	0.02792	0.01157
1990	65	5	0.04312	0.01995
1990	70	5	0.06713	0.03477
1990	75	5	0.10669	0.06031
1990	80	5	0.16955	0.10462
1990	85	15	0.29229	0.21498
1995	0	1	0.01047	0.00912
1995	1	4	0.00086	0.00073
1995	5	5	0.00054	0.00040
1995	10	5	0.00042	0.00031
1995	15	5	0.00118	0.00046
1995	20	5	0.00125	0.00054
1995	25	5	0.00162	0.00067
1995	30	5	0.00213	0.00087
1995	35	5	0.00317	0.00112
1995	40	5	0.00493	0.00171
1995	45	5	0.00731	0.00265
1995	50	5	0.01096	0.00397
1995	55	5	0.01636	0.00597
1995	60	5	0.02448	0.01011
1995	65	5	0.03810	0.01753
1995	70	5	0.05829	0.03025
1995	75	5	0.08988	0.05324
1995	80	5	0.13782	0.09141
1995	85	15	0.23872	0.19294
2000	0	1	0.00690	0.00638
2000	1	4	0.00054	0.00049
2000	5	5	0.00034	0.00025
2000	10	5	0.00030	0.00018
2000	15	5	0.00081	0.00039
2000	20	5	0.00109	0.00046
2000	25	5	0.00120	0.00054
2000	30	5	0.00164	0.00072
2000	35	5	0.00247	0.00095
2000	40	5	0.00398	0.00139
2000	45	5	0.00618	0.00201
2000	50	5	0.00896	0.00320
2000	55	5	0.01363	0.00465
2000	60	5	0.02057	0.00798
2000	65	5	0.03217	0.01420
2000	70	5	0.05163	0.02681
2000	75	5	0.08145	0.04921
2000	80	5	0.12674	0.08675
2000	85	15	0.22636	0.19006
2005	0	1	0.00582	0.00483
2005	1	4	0.00038	0.00035
2005	5	5	0.00024	0.00019
2005	10	5	0.00019	0.00012
2005	15	5	0.00046	0.00025
2005	20	5	0.00065	0.00031
2005	25	5	0.00080	0.00041
2005	30	5	0.00108	0.00053
2005	35	5	0.00180	0.00077
2005	40	5	0.00307	0.00112
2005	45	5	0.00479	0.00161
2005	50	5	0.00724	0.00240
2005	55	5	0.01040	0.00370
2005	60	5	0.01621	0.00602
2005	65	5	0.02584	0.01090
2005	70	5	0.04236	0.02085
2005	75	5	0.06970	0.04123
2005	80	5	0.11208	0.07681
2005	85	15	0.20314	0.17283
2010	0	1	0.00510	0.00411
2010	1	4	0.00034	0.00030
2010	5	5	0.00020	0.00015
2010	10	5	0.00015	0.00009
2010	15	5	0.00034	0.00018
2010	20	5	0.00049	0.00022
2010	25	5	0.00060	0.00029
2010	30	5	0.00081	0.00037
2010	35	5	0.00135	0.00054
2010	40	5	0.00231	0.00079
2010	45	5	0.00360	0.00114
2010	50	5	0.00544	0.00169
2010	55	5	0.00782	0.00261
2010	60	5	0.01242	0.00434
2010	65	5	0.02017	0.00805
2010	70	5	0.03369	0.01576
2010	75	5	0.05650	0.03190
2010	80	5	0.09258	0.06081
2010	85	15	0.17872	0.15010
2015	0	1	0.00395	0.00288
2015	1	4	0.00025	0.00020
2015	5	5	0.00015	0.00010
2015	10	5	0.00012	0.00006
2015	15	5	0.00027	0.00013
2015	20	5	0.00039	0.00016
2015	25	5	0.00049	0.00021
2015	30	5	0.00066	0.00028
2015	35	5	0.00113	0.00042
2015	40	5	0.00195	0.00062
2015	45	5	0.00305	0.00090
2015	50	5	0.00463	0.00135
2015	55	5	0.00668	0.00209
2015	60	5	0.01073	0.00354
2015	65	5	0.01768	0.00669
2015	70	5	0.03021	0.01349
2015	75	5	0.05167	0.02798
2015	80	5	0.08598	0.05437
2015	85	15	0.17081	0.14086
2020	0	1	0.00316	0.00210
2020	1	4	0.00020	0.00014
2020	5	5	0.00012	0.00007
2020	10	5	0.00009	0.00004
2020	15	5	0.00022	0.00010
2020	20	5	0.00032	0.00012
2020	25	5	0.00040	0.00016
2020	30	5	0.00055	0.00022
2020	35	5	0.00095	0.00033
2020	40	5	0.00166	0.00049
2020	45	5	0.00261	0.00072
2020	50	5	0.00397	0.00109
2020	55	5	0.00574	0.00169
2020	60	5	0.00929	0.00289
2020	65	5	0.01547	0.00555
2020	70	5	0.02706	0.01151
2020	75	5	0.04722	0.02448
2020	80	5	0.07980	0.04850
2020	85	15	0.16333	0.13226
2025	0	1	0.00259	0.00159
2025	1	4	0.00016	0.00010
2025	5	5	0.00010	0.00005
2025	10	5	0.00008	0.00003
2025	15	5	0.00018	0.00007
2025	20	5	0.00026	0.00009
2025	25	5	0.00034	0.00013
2025	30	5	0.00047	0.00017
2025	35	5	0.00081	0.00027
2025	40	5	0.00142	0.00040
2025	45	5	0.00224	0.00059
2025	50	5	0.00343	0.00089
2025	55	5	0.00497	0.00138
2025	60	5	0.00807	0.00238
2025	65	5	0.01355	0.00462
2025	70	5	0.02425	0.00984
2025	75	5	0.04316	0.02144
2025	80	5	0.07408	0.04328
2025	85	15	0.15635	0.12442
2030	0	1	0.00217	0.00125
2030	1	4	0.00013	0.00008
2030	5	5	0.00008	0.00004
2030	10	5	0.00006	0.00003
2030	15	5	0.00015	0.00006
2030	20	5	0.00022	0.00007
2030	25	5	0.00029	0.00010
2030	30	5	0.00040	0.00014
2030	35	5	0.00070	0.00022
2030	40	5	0.00123	0.00033
2030	45	5	0.00194	0.00048
2030	50	5	0.00297	0.00073
2030	55	5	0.00431	0.00114
2030	60	5	0.00703	0.00197
2030	65	5	0.01187	0.00385
2030	70	5	0.02174	0.00844
2030	75	5	0.03946	0.01881
2030	80	5	0.06879	0.03866
2030	85	15	0.14983	0.11732
2035	0	1	0.00185	0.00101
2035	1	4	0.00011	0.00006
2035	5	5	0.00007	0.00003
2035	10	5	0.00005	0.00002
2035	15	5	0.00013	0.00005
2035	20	5	0.00019	0.00006
2035	25	5	0.00025	0.00008
2035	30	5	0.00034	0.00011
2035	35	5	0.00061	0.00018
2035	40	5	0.00107	0.00027
2035	45	5	0.00169	0.00040
2035	50	5	0.00259	0.00061
2035	55	5	0.00376	0.00095
2035	60	5	0.00616	0.00165
2035	65	5	0.01043	0.00323
2035	70	5	0.01953	0.00727
2035	75	5	0.03614	0.01656
2035	80	5	0.06396	0.03463
2035	85	15	0.14382	0.11096
2040	0	1	0.00160	0.00084
2040	1	4	0.00010	0.00005
2040	5	5	0.00006	0.00003
2040	10	5	0.00005	0.00002
2040	15	5	0.00011	0.00004
2040	20	5	0.00017	0.00005
2040	25	5	0.00021	0.00007
2040	30	5	0.00030	0.00009
2040	35	5	0.00053	0.00015
2040	40	5	0.00093	0.00023
2040	45	5	0.00148	0.00034
2040	50	5	0.00227	0.00051
2040	55	5	0.00329	0.00080
2040	60	5	0.00540	0.00138
2040	65	5	0.00916	0.00273
2040	70	5	0.01755	0.00628
2040	75	5	0.03310	0.01461
2040	80	5	0.05948	0.03106
2040	85	15	0.13819	0.10513
2045	0	1	0.00139	0.00070
2045	1	4	0.00008	0.00004
2045	5	5	0.00005	0.00002
2045	10	5	0.00004	0.00001
2045	15	5	0.00010	0.00003
2045	20	5	0.00015	0.00004
2045	25	5	0.00019	0.00006
2045	30	5	0.00026	0.00008
2045	35	5	0.00046	0.00013
2045	40	5	0.00082	0.00019
2045	45	5	0.00130	0.00028
2045	50	5	0.00199	0.00043
2045	55	5	0.00289	0.00067
2045	60	5	0.00474	0.00117
2045	65	5	0.00805	0.00231
2045	70	5	0.01578	0.00544
2045	75	5	0.03033	0.01292
2045	80	5	0.05533	0.02792
2045	85	15	0.13292	0.09988
2050	0	1	0.00122	0.00060
2050	1	4	0.00007	0.00004
2050	5	5	0.00004	0.00002
2050	10	5	0.00004	0.00001
2050	15	5	0.00009	0.00003
2050	20	5	0.00013	0.00004
2050	25	5	0.00016	0.00005
2050	30	5	0.00023	0.00007
2050	35	5	0.00041	0.00011
2050	40	5	0.00072	0.00016
2050	45	5	0.00114	0.00024
2050	50	5	0.00175	0.00037
2050	55	5	0.00254	0.00057
2050	60	5	0.00417	0.00100
2050	65	5	0.00708	0.00197
2050	70	5	0.01418	0.00474
2050	75	5	0.02780	0.01147
2050	80	5	0.05147	0.02515
2050	85	15	0.12796	0.09511
