"alpha" "gamma" "sigma" "beta" "phi" "rho"
"1" 0.075 0.2 0 0 7 0.5
"2" 0.075 0.2 0.2 0 7 0.5
"3" 0.075 0.2 0.4 0 7 0.5
"4" 0.075 0.2 0.6 0 7 0.5
"5" 0.075 0.2 0.8 0 7 0.5
"6" 0.075 0.2 1 0 7 0.5
"7" 0.075 0.2 1.2 0 7 0.5
"8" 0.075 0.2 1.4 0 7 0.5
"9" 0.075 0.2 1.6 0 7 0.5
"10" 0.075 0.2 1.8 0 7 0.5
"11" 0.075 0.2 2 0 7 0.5
"12" 0.075 0.2 0 0.1 7 0.5
"13" 0.075 0.2 0.2 0.1 7 0.5
"14" 0.075 0.2 0.4 0.1 7 0.5
"15" 0.075 0.2 0.6 0.1 7 0.5
"16" 0.075 0.2 0.8 0.1 7 0.5
"17" 0.075 0.2 1 0.1 7 0.5
"18" 0.075 0.2 1.2 0.1 7 0.5
"19" 0.075 0.2 1.4 0.1 7 0.5
"20" 0.075 0.2 1.6 0.1 7 0.5
"21" 0.075 0.2 1.8 0.1 7 0.5
"22" 0.075 0.2 2 0.1 7 0.5
"23" 0.075 0.2 0 0.2 7 0.5
"24" 0.075 0.2 0.2 0.2 7 0.5
"25" 0.075 0.2 0.4 0.2 7 0.5
"26" 0.075 0.2 0.6 0.2 7 0.5
"27" 0.075 0.2 0.8 0.2 7 0.5
"28" 0.075 0.2 1 0.2 7 0.5
"29" 0.075 0.2 1.2 0.2 7 0.5
"30" 0.075 0.2 1.4 0.2 7 0.5
"31" 0.075 0.2 1.6 0.2 7 0.5
"32" 0.075 0.2 1.8 0.2 7 0.5
"33" 0.075 0.2 2 0.2 7 0.5
"34" 0.075 0.2 0 0.3 7 0.5
"35" 0.075 0.2 0.2 0.3 7 0.5
"36" 0.075 0.2 0.4 0.3 7 0.5
"37" 0.075 0.2 0.6 0.3 7 0.5
"38" 0.075 0.2 0.8 0.3 7 0.5
"39" 0.075 0.2 1 0.3 7 0.5
"40" 0.075 0.2 1.2 0.3 7 0.5
"41" 0.075 0.2 1.4 0.3 7 0.5
"42" 0.075 0.2 1.6 0.3 7 0.5
"43" 0.075 0.2 1.8 0.3 7 0.5
"44" 0.075 0.2 2 0.3 7 0.5
"45" 0.075 0.2 0 0.4 7 0.5
"46" 0.075 0.2 0.2 0.4 7 0.5
"47" 0.075 0.2 0.4 0.4 7 0.5
"48" 0.075 0.2 0.6 0.4 7 0.5
"49" 0.075 0.2 0.8 0.4 7 0.5
"50" 0.075 0.2 1 0.4 7 0.5
"51" 0.075 0.2 1.2 0.4 7 0.5
"52" 0.075 0.2 1.4 0.4 7 0.5
"53" 0.075 0.2 1.6 0.4 7 0.5
"54" 0.075 0.2 1.8 0.4 7 0.5
"55" 0.075 0.2 2 0.4 7 0.5
"56" 0.075 0.2 0 0.5 7 0.5
"57" 0.075 0.2 0.2 0.5 7 0.5
"58" 0.075 0.2 0.4 0.5 7 0.5
"59" 0.075 0.2 0.6 0.5 7 0.5
"60" 0.075 0.2 0.8 0.5 7 0.5
"61" 0.075 0.2 1 0.5 7 0.5
"62" 0.075 0.2 1.2 0.5 7 0.5
"63" 0.075 0.2 1.4 0.5 7 0.5
"64" 0.075 0.2 1.6 0.5 7 0.5
"65" 0.075 0.2 1.8 0.5 7 0.5
"66" 0.075 0.2 2 0.5 7 0.5
