"rho" "phi" "sigma" "beta" "alpha" "gamma"
"1" 1.61740145076016 6.68696849883418 1.06051357460663 0.362854872335447 0.91573195516269 0.725385620628783
"2" 0.739958046359659 19.9383849579317 1.81593160162135 0.378033912324879 0.245179734256193 0.617228801336231
"3" 0.40491682225963 15.3964184414404 0.617832333498102 0.327987490833558 0.747782553764409 0.917087785337312
"4" 0.602674260207485 0.590298967934879 1.7192783662514 0.231875150776302 0.755071681393019 0.183257090567037
"5" 0.632651330959301 7.59986849204454 1.34202165346973 0.367481725798695 0.576000651926734 0.415281287308192
"6" 1.90851210907983 1.12446543492427 1.04302876461069 0.261768906192758 0.270849915988427 0.31267225825286
"7" 0.665383141560596 0.425303600495681 2.26173049527071 0.255704517196656 0.390748879530292 0.253487411001905
"8" 0.864135060748335 10.8475000134994 0.496076036792407 0.23253111476879 0.779830428453611 0.329285113056747
"9" 0.92008538139219 12.5046985207051 0.100696784434799 0.0298429941212817 0.732773513226545 0.626402270375235
"10" 1.05480482576864 3.3997113942626 2.49513956199215 0.461518674941804 0.677592247133102 0.501888221305437
"11" 1.00389566833993 4.38663395211084 1.50192655817071 0.392054392939567 0.476812026739935 0.0297866108802347
"12" 1.78924280727473 15.326785472758 2.29483087029231 0.249603714909816 0.0159421207063133 0.0991793288693381
"13" 1.55061108420237 17.3474383719856 0.148183788577236 0.00902790476694853 0.499169072722517 0.0961811877537652
"14" 1.63522722066721 3.66009657000957 2.00279089298419 0.276315407835812 0.32695057060898 0.445039703645827
"15" 0.108558943439026 8.06052082328408 1.39927753367634 0.18077608011507 0.642199202165232 0.309180623591861
"16" 1.75257671853927 7.02071066949949 2.31104466519225 0.0974245946708834 0.900755952831657 0.169855795596959
"17" 0.147862746301273 11.5019775861375 0.314246008630497 0.159199960511614 0.875565653992193 0.922583755018422
"18" 0.32902225952213 11.7484009503927 2.06670891793952 0.0520355298098626 0.725430221965196 0.109080286369135
"19" 1.71877282195575 1.50370243200866 1.228545926385 0.380751415029018 0.193777995456393 0.95230307577419
"20" 1.10207009988413 14.9530258784528 1.76461655845092 0.208938831911447 0.00815644474537943 0.510534768470929
"21" 1.67383196410706 6.87790477856262 2.40842646100126 0.0932206104142616 0.524639027591287 0.476789609285853
"22" 1.98562235823816 16.7735562614689 1.7765994785207 0.019474354873507 0.599480938980248 0.470334785561136
"23" 1.23766115070612 12.7558220570998 1.47290432426286 0.394695756446578 0.863891225321692 0.199961002598034
"24" 0.421071493468064 11.0312307991886 2.33659537878858 0.229908690968711 0.872937126491576 0.15993826718581
"25" 0.392160288898075 7.49694583197457 0.396759409179919 0.0266516872044511 0.107343926562213 0.561260705664089
"26" 1.27775250625356 10.768119579547 2.02758961641718 0.294151398733188 0.815433993955334 0.994381275056055
"27" 0.574611325114217 12.1844671255842 0.221999952926646 0.00189331264690346 0.573763162844573 0.348989773456456
"28" 0.383431602267332 4.26549508257137 1.65710141913223 0.485868265733318 0.173336116343437 0.59029329445184
"29" 1.31260633918282 10.6842895734007 2.41859078109233 0.355825959044263 0.460613217002122 0.487641378845313
"30" 0.0367494709228465 19.2487286945314 1.01697300854929 0.102651312428601 0.506119321697042 0.887733152179862
"31" 0.761966340667901 12.6752256098968 0.243955872852634 0.304468516177751 0.889548613073462 0.0352213062589206
"32" 0.896118955938229 1.6252141552312 1.15826038269266 0.438333139399869 0.292570251136827 0.96663411868628
"33" 0.843132616987402 8.68512885582667 1.62342040767856 0.0322357556360657 0.121045416843637 0.462067319960624
"34" 0.659527656782302 9.01612167494022 2.08828084749257 0.490302297990898 0.126086145036554 0.880004458113815
"35" 1.44821899662618 9.89256059455719 0.525965741253458 0.365320040008165 0.0752937931507144 0.422776450579737
"36" 0.496669306727459 19.8322035960362 0.936485542014063 0.483796332061112 0.213297348203404 0.345446829883648
"37" 0.590154915544969 19.7648784134695 0.30679712879906 0.0570947802422909 0.973732789047062 0.456543545332222
"38" 0.0114247667204056 15.6460320672237 1.60820895638868 0.203138664957805 0.282011762222932 0.693756685316787
"39" 0.828833538858037 19.681154917593 0.293184722257657 0.140715738606689 0.445710740191446 0.838364202303637
"40" 0.684837459613586 7.31411258176585 0.832539374270189 0.117772553578626 0.174556009799874 0.287499251672541
"41" 1.12891688448976 0.188676704814757 2.18897278123872 0.454661102616228 0.14771861227408 0.378759928501885
"42" 1.23190564533122 17.5394185654087 2.05949399865338 0.411070608705943 0.227917301968513 0.449160161043567
"43" 1.96750742999679 18.9870055193439 0.809307110724019 0.0123449114180403 0.689950401200414 0.82831656430374
"44" 0.10308943452089 3.09241845526101 2.01517165189736 0.198522860147412 0.218118512529015 0.963103136491554
"45" 0.98996508228551 5.95539564850956 0.87928562990263 0.475824342344692 0.922591729939865 0.781972836906789
"46" 0.550471206657156 3.8405805075932 0.416807770870946 0.0846760734000002 0.683952442817307 0.399610781316629
"47" 0.55936609976925 13.9415788459675 2.4621896012338 0.347602034939233 0.188533251388955 0.876848577658945
"48" 1.69689529233437 1.81030668582285 0.952954586794346 0.465543619816474 0.612472299559158 0.718582567747425
"49" 0.0328773261405461 0.32250686968577 2.23341164797603 0.220710430602464 0.493027278936227 0.61416921197919
"50" 0.501080056529775 7.99798566338723 0.0318063164870961 0.479044730910703 0.304074545706888 0.647457032298137
"51" 1.4837317373271 1.93260931750826 2.1629226794851 0.426783836175933 0.739870578914373 0.223749999546271
"52" 1.52485065420582 4.70091386627506 1.07512409735136 0.0804741058309446 0.903039714322533 0.238596499894421
"53" 0.170646311041699 10.5962485311777 0.563724051633991 0.166697478948793 0.38614154629613 0.363070245652385
"54" 1.59464628566223 0.843424924678402 1.44310889919974 0.292323768795801 0.548003742617896 0.911565714012665
"55" 0.467805232216571 2.47803381132793 0.669750150773325 0.397329563299406 0.96565562926844 0.433050165451797
"56" 1.84067238006225 5.45870769602646 1.89746261923574 0.282973855230791 0.713366786551238 0.299577444738783
"57" 1.90159744273738 15.0443545917473 1.00399379330806 0.342904165362207 0.447130232923623 0.83105593005478
"58" 1.9214496501684 7.40623718643162 0.477250015168725 0.188156164520998 0.239032413337554 0.848789558105636
"59" 1.46648361426196 17.8719319551185 1.75547024502521 0.286104062332015 0.958960946127523 0.97141104192685
"60" 0.830704774603613 18.2918587306007 0.638301735369688 0.415909081898073 0.705964589218118 0.203668740837851
"61" 0.430282450401657 1.73647769926382 2.04790579022821 0.125694018918564 0.164972383468661 0.232819461600489
"62" 0.876503552601207 4.49683922130914 0.0861252443168528 0.120068691578386 0.64536963692912 0.0575211100097347
"63" 1.76742054469651 19.3861023890453 2.36677639854731 0.0781388580518459 0.953621912616654 0.0179546306306812
"64" 1.05247665608061 11.4041387552321 2.27416368042083 0.423046541769249 0.250705058838191 0.121346234962402
"65" 0.512577345971035 6.40067453972214 0.252503841337394 0.170196285616839 0.313607426175232 0.00227544578228844
"66" 0.0860730869026156 9.16358817680573 2.35592135352168 0.00731847093369912 0.571418013689773 0.539976461927706
"67" 1.56332940660858 13.7253681237676 0.946712807313556 0.259832527994149 0.945754584867765 0.873084092255989
"68" 0.58626637080202 9.6921355347357 2.31017364306743 0.273845908972622 0.00313519611622074 0.11719967488794
"69" 1.87548519549143 10.1823545466011 0.277544889468118 0.479958960823881 0.412954352122532 0.334917239182687
"70" 1.74954990714988 11.6627196254974 0.589601373560851 0.0448716324473415 0.765720265605653 0.82110774521321
"71" 1.86735737901888 17.8512178980704 1.83931684806209 0.399886707396425 0.0879923241851169 0.623814037285878
"72" 1.33098387668101 15.8851204488435 1.58682490225017 0.284645851252987 0.514722568246985 0.933540921729998
"73" 0.367094964535292 13.7975016322369 0.234022479689884 0.145429133182915 0.720960231729675 0.576617765470084
"74" 1.07897772036501 4.29380472682949 1.3528070616407 0.383447901693476 0.633100838458631 0.755169767224288
"75" 1.80155700351627 4.80535370709341 0.731056468700574 0.211110222158043 0.934495371633342 0.644918764890463
