"alpha" "gamma" "sigma" "beta" "phi" "rho"
"1" 0.075 0.2 1.7 0.2 0 0
"2" 0.075 0.2 1.7 0.2 2 0
"3" 0.075 0.2 1.7 0.2 4 0
"4" 0.075 0.2 1.7 0.2 6 0
"5" 0.075 0.2 1.7 0.2 8 0
"6" 0.075 0.2 1.7 0.2 10 0
"7" 0.075 0.2 1.7 0.2 12 0
"8" 0.075 0.2 1.7 0.2 14 0
"9" 0.075 0.2 1.7 0.2 16 0
"10" 0.075 0.2 1.7 0.2 18 0
"11" 0.075 0.2 1.7 0.2 20 0
"12" 0.075 0.2 1.7 0.2 0 0.2
"13" 0.075 0.2 1.7 0.2 2 0.2
"14" 0.075 0.2 1.7 0.2 4 0.2
"15" 0.075 0.2 1.7 0.2 6 0.2
"16" 0.075 0.2 1.7 0.2 8 0.2
"17" 0.075 0.2 1.7 0.2 10 0.2
"18" 0.075 0.2 1.7 0.2 12 0.2
"19" 0.075 0.2 1.7 0.2 14 0.2
"20" 0.075 0.2 1.7 0.2 16 0.2
"21" 0.075 0.2 1.7 0.2 18 0.2
"22" 0.075 0.2 1.7 0.2 20 0.2
"23" 0.075 0.2 1.7 0.2 0 0.4
"24" 0.075 0.2 1.7 0.2 2 0.4
"25" 0.075 0.2 1.7 0.2 4 0.4
"26" 0.075 0.2 1.7 0.2 6 0.4
"27" 0.075 0.2 1.7 0.2 8 0.4
"28" 0.075 0.2 1.7 0.2 10 0.4
"29" 0.075 0.2 1.7 0.2 12 0.4
"30" 0.075 0.2 1.7 0.2 14 0.4
"31" 0.075 0.2 1.7 0.2 16 0.4
"32" 0.075 0.2 1.7 0.2 18 0.4
"33" 0.075 0.2 1.7 0.2 20 0.4
"34" 0.075 0.2 1.7 0.2 0 0.6
"35" 0.075 0.2 1.7 0.2 2 0.6
"36" 0.075 0.2 1.7 0.2 4 0.6
"37" 0.075 0.2 1.7 0.2 6 0.6
"38" 0.075 0.2 1.7 0.2 8 0.6
"39" 0.075 0.2 1.7 0.2 10 0.6
"40" 0.075 0.2 1.7 0.2 12 0.6
"41" 0.075 0.2 1.7 0.2 14 0.6
"42" 0.075 0.2 1.7 0.2 16 0.6
"43" 0.075 0.2 1.7 0.2 18 0.6
"44" 0.075 0.2 1.7 0.2 20 0.6
"45" 0.075 0.2 1.7 0.2 0 0.8
"46" 0.075 0.2 1.7 0.2 2 0.8
"47" 0.075 0.2 1.7 0.2 4 0.8
"48" 0.075 0.2 1.7 0.2 6 0.8
"49" 0.075 0.2 1.7 0.2 8 0.8
"50" 0.075 0.2 1.7 0.2 10 0.8
"51" 0.075 0.2 1.7 0.2 12 0.8
"52" 0.075 0.2 1.7 0.2 14 0.8
"53" 0.075 0.2 1.7 0.2 16 0.8
"54" 0.075 0.2 1.7 0.2 18 0.8
"55" 0.075 0.2 1.7 0.2 20 0.8
"56" 0.075 0.2 1.7 0.2 0 1
"57" 0.075 0.2 1.7 0.2 2 1
"58" 0.075 0.2 1.7 0.2 4 1
"59" 0.075 0.2 1.7 0.2 6 1
"60" 0.075 0.2 1.7 0.2 8 1
"61" 0.075 0.2 1.7 0.2 10 1
"62" 0.075 0.2 1.7 0.2 12 1
"63" 0.075 0.2 1.7 0.2 14 1
"64" 0.075 0.2 1.7 0.2 16 1
"65" 0.075 0.2 1.7 0.2 18 1
